username,trust_score_pcc,trust_score_pr,trust_score,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,scam,age,gender,location,ethnicity,occupation,marital_status,children,religion,sexual_orientation,sex,description,age_bin,description_set,description_stem,description_stem_set
jannyn12,0.004263346766304777,0.004439727230116831,0.0043515369982108035,31582.0,31582.0,31582.0,0.0,29.0,female,"barquisimeto 3001, lara, venezuela",hispanic,comerciante independiente,single,1-2 living elsewhere,spiritual,straight,female,,21-30,,,
billyhill,0.004655314715424695,0.003838700391934427,0.004247007553679561,4.0,4.0,4.0,0.0,58.0,male,"los angeles, ca, usa",white,electrician,married,1-2 living with me,spiritual,straight,male,"i fall into the category of ""n more"" with dating n more. i am married, not looking for anything else, i am just here to be helpful to others and keep in touch with friends i have made along the way. i love nature and being at one with it (camping, riding, walking tours, that kinda stuff). accept responsibility and blame no one for anything i do. i love to ride, they call me an ""old school"" biker. i am proud to wear that label. i am married to lia that i met here, but friends are always welcome.",51-60,"{'school', 'helpful', 'always', 'label', 'anything', 'accept', 'friends', 'tours', 'met', 'kinda', 'fall', 'love', 'looking', 'one', 'biker', 'responsibility', 'else', 'nature', 'lia', 'stuff', 'touch', 'dating', 'walking', 'way', 'riding', 'blame', 'made', 'keep', 'call', 'wear', 'old', 'along', 'category', 'married', 'camping', 'others', 'welcome', 'proud', 'n', 'ride'}",fall categori n date n marri look anyth els help other keep touch friend made along way love natur one camp ride walk tour kinda stuff accept respons blame one anyth love ride call old school biker proud wear label marri lia met friend alway welcom,"{'friend', 'school', 'label', 'walk', 'accept', 'look', 'other', 'help', 'met', 'alway', 'els', 'kinda', 'fall', 'love', 'natur', 'one', 'tour', 'biker', 'lia', 'stuff', 'touch', 'respons', 'welcom', 'anyth', 'way', 'blame', 'made', 'keep', 'call', 'wear', 'date', 'marri', 'camp', 'along', 'old', 'categori', 'proud', 'n', 'ride'}"
kennethrw,0.002907609242598019,0.0055666657680580505,0.004237137505328035,1.0,1.0,1.0,0.0,54.0,male,"steele, al 35987, usa",white,pc tech,widowed,1-2 living elsewhere,christian,straight,male,,51-60,,,
user_78737,0.003114476392126377,0.004561809504112032,0.0038381429481192044,24809.0,24809.0,24809.0,0.0,53.0,male,"sagua la grande, cuba",mixed,"director de tv, editor tv, sonidista y camarografo",divorced,1-2 living elsewhere,other,straight,male,,51-60,,,
johnsilverfox,0.004646744633117667,0.002783012071629371,0.003714878352373519,41701.0,41702.0,41702.0,0.0,66.0,male,"vejle, denmark",white,factory worker,single,no children,christian,straight,male,,61-70,,,
looking4friends,0.006256409887137222,0.0009434122542621497,0.003599911070699686,10480.0,10480.0,10480.0,0.0,68.0,female,"george town, penang, malaysia",asian,retired,widowed,1-2 living with me,christian,straight,female,"i like exchanging views on life experiences and life in general with friends! i like people with a sense of humour, who can laugh at themselves as well. i do not appreciate self-righteous or pretentious persons.",61-70,"{'pretentious', 'persons', 'experiences', 'general', 'exchanging', 'people', 'life', 'friends', 'like', 'sense', 'humour', 'laugh', 'well', 'selfrighteous', 'appreciate', 'views'}",like exchang view life experi life gener friend like peopl sens humour laugh well appreci selfright pretenti person,"{'friend', 'view', 'experi', 'selfright', 'person', 'life', 'peopl', 'exchang', 'gener', 'like', 'humour', 'sens', 'laugh', 'well', 'appreci', 'pretenti'}"
tonytiger1210,0.002914307814792895,0.004036611056654635,0.003475459435723765,2452.0,2452.0,2452.0,0.0,44.0,male,"astatula, fl, usa",white,i am on ssi,single,want children,spiritual,straight,male,i am a nice caned loving trusting man i love hiving fun i am a little person i love to hive in in life i am a veer nice caned i am veer understanding person i am not one of throes man that sit on his but and let the woman do all the work a man can help to. i do not look at age or how fair we are a part they are just number,41-50,"{'number', 'nice', 'caned', 'life', 'look', 'work', 'little', 'help', 'love', 'woman', 'throes', 'part', 'fun', 'one', 'fair', 'man', 'age', 'person', 'hive', 'trusting', 'loving', 'understanding', 'sit', 'veer', 'hiving', 'let'}",nice cane love trust man love hive fun littl person love hive life veer nice cane veer understand person one throe man sit let woman work man help look age fair part number,"{'number', 'nice', 'throe', 'life', 'look', 'understand', 'work', 'trust', 'help', 'love', 'woman', 'part', 'fun', 'one', 'fair', 'man', 'age', 'person', 'littl', 'hive', 'cane', 'sit', 'veer', 'let'}"
ausguy2013,0.0018492450075636455,0.004826853453618483,0.003338049230591064,0.0,0.0,0.0,0.0,50.0,male,"warrnambool vic 3280, australia",white,farmer/property development,single,want children,spiritual,straight,male,,51-60,,,
peeeter,0.001608966203881164,0.004989786728534145,0.0032993764662076546,1223.0,1223.0,1223.0,0.0,41.0,male,"budapest, hungary",white,hotel,single,no children,spiritual,straight,male,"ciao bella! 

i`m pete a simple good mon from hungary, planning to go abroad, so looking for friends...maybe more...
...
love u, u`re accepted, respected and loved the way u are",41-50,"{'maybe', 'friends', 'u', 'love', 'planning', 'bella', 'looking', 'abroad', 'mon', 'good', 'ciao', 'loved', 'respected', 'accepted', 'way', 'hungary', 'go', 'simple', 'pete'}",ciao bella pete simpl good mon hungari plan go abroad look friend mayb love u u accept respect love way u,"{'friend', 'bella', 'go', 'u', 'abroad', 'accept', 'look', 'respect', 'mayb', 'way', 'mon', 'simpl', 'good', 'plan', 'ciao', 'hungari', 'love', 'pete'}"
constanza28,0.002722935951874757,0.0038513327554622946,0.0032871343536685256,13841.0,13841.0,13841.0,0.0,35.0,female,"cd juarez, chih., mexico",white,,single,no children,other,straight,female,,31-40,,,
equitis,0.0029357924182581998,0.0036378891291202285,0.0032868407736892143,698.0,698.0,698.0,0.0,60.0,male,"cottbus, germany",white,dozent,single,1-2 living elsewhere,christian,straight,male,,61-70,,,
gmagbanua08,0.004935317281150456,0.0011812214621928728,0.0030582693716716645,22673.0,22673.0,22673.0,0.0,40.0,female,"san jose del monte city, bulacan, philippines",asian,teaching,single,want children,christian,straight,female,"i love being simple in everything, open minded and friendly.",41-50,"{'friendly', 'minded', 'open', 'everything', 'love', 'simple'}",love simpl everyth open mind friendli,"{'open', 'mind', 'simpl', 'everyth', 'love', 'friendli'}"
